jobtitle,company,city,state,industry,skilltag,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
Senior Data Scientist working with cutting edge research into online behaviour,Qubit,London,UK,"Computer Software, Data & Analytics, Software Development","machine-learning, python, statistics, r",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Director, Data Science & Insights",Achievement Network,Boston,MA,"Education, Non-Profit","sql, business-intelligence, r, google-analytics, tableau",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Business (Data) Analyst,Shane Co.,Centennial,CO,"Consumer Products, Jewelry, Luxury Goods","data-modeling, hadoop, sql, sap, matlab",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Senior Data Scientist,LoopMe,London,UK,"Ad Tech, Advertising Technology, Artificial Intelligence","r, machine-learning, python",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior Data Science Engineer,Rakuten,Setagaya,Japan,"E-Commerce, Mobile Application, Mobile Payments","etl, python, hadoop, mapreduce, hive",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Data Scientist - Payments,Zalando Payments SE & Co.KG,Berlin,Germany,eCommerce,"machinelearning, apache-spark, scala, java, python",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Senior Data Scientist / Machine Learning Engineer,TopDevz,Sacramento,CA,Agile Software Development,"r, machine-learning, go, python, elk-stack",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Scientist - Brain AI,"Brain Technologies, Inc.",San Mateo,CA,"Artificial Intelligence, Machine Learning, Natural User Interaction","machine-learning, python, nlp",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sr. Data Scientist,Ebates,San Francisco,CA,"eCommerce, Marketing, Retail Apps","r, machine-learning, sql",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Data Scientist/Quantitative Analyst, Engineering",Google,Mountain View,CA,10k+ people,"r, sql, statistics, python, pandas",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Data Scientist / Big Data Engineer (Java, Scala, Javascript, Python, Hadoop, R, SQL,...",BlackRock,New York,NY,NA,"java, scala, javascript, python, hadoop",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Fast-Growing Startup looking for a Data Scientist / Data Engineer,Creatubbles,No office location,No office location,"Information Technology, Social Networking","mixpanel, google-analytics, statistics, database",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Scientist,Buzzfeed,Los Angeles,CA,"Digital Media, Entertainment, News","sql, python, machine-learning, pandas, scipy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
